algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, TopSpinC16x4, 2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15 , 8, 157806984, 25.125671, 6280707.000000
dfid, TopSpinC16x4, 2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15 , 6, 4078812, 0.748480, 5449460.000000
dfid, TopSpinC16x4, 3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15 , 6, 4251465, 0.778532, 5460873.500000
dfid, TopSpinC16x4, 0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15 , 8, 153211834, 28.050327, 5462034.000000
dfid, TopSpinC16x4, 8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15 , na, na, na, na
dfid, TopSpinC16x4, 0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15 , na, na, na, na
dfid, TopSpinC16x4, 0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15 , 2, 842, 0.000167, 5041916.000000
dfid, TopSpinC16x4, 11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15 , na, na, na, na
dfid, TopSpinC16x4, 7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15 , na, na, na, na
dfid, TopSpinC16x4, 14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15 , 6, 4957580, 0.902986, 5490207.000000
dfid, TopSpinC16x4, 11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15 , 8, 368003461, 67.095306, 5484787.000000
dfid, TopSpinC16x4, 13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15 , na, na, na, na
dfid, TopSpinC16x4, 12 2 11 5 6 1 14 13 10 4 3 9 8 7 0 15 , na, na, na, na
dfid, TopSpinC16x4, 3 4 6 5 7 8 11 10 9 12 13 14 2 1 0 15 , 6, 3198092, 0.583011, 5485475.000000
dfid, TopSpinC16x4, 14 13 12 0 1 2 3 4 5 9 8 7 6 10 11 15 , 2, 1568, 0.000252, 6222222.500000
dfid, TopSpinC16x4, 3 12 13 14 4 0 5 2 1 7 10 9 8 6 11 15 , 8, 123018555, 22.438847, 5482392.000000
dfid, TopSpinC16x4, 4 5 1 11 7 6 2 10 3 13 8 9 0 12 14 15 , 8, 292202947, 53.326881, 5479468.000000
dfid, TopSpinC16x4, 7 11 5 2 0 4 8 3 1 6 10 14 12 13 9 15 , na, na, na, na
dfid, TopSpinC16x4, 2 9 5 4 11 10 0 12 7 6 1 13 3 8 14 15 , 8, 417130089, 76.069649, 5483528.500000
dfid, TopSpinC16x4, 0 1 2 3 4 8 5 9 10 7 6 14 13 12 11 15 , 4, 92782, 0.016950, 5473864.500000
dfid, TopSpinC16x4, 14 13 1 6 5 2 3 7 4 8 9 10 11 12 0 15 , 4, 70933, 0.012984, 5463108.500000
dfid, TopSpinC16x4, 0 13 9 5 12 2 3 4 1 8 10 11 6 7 14 15 , na, na, na, na
dfid, TopSpinC16x4, 5 6 1 10 9 13 12 11 0 3 2 14 7 8 4 15 , 8, 75314016, 13.866153, 5431500.500000
dfid, TopSpinC16x4, 14 1 0 8 5 2 4 3 7 6 12 13 9 11 10 15 , na, na, na, na
dfid, TopSpinC16x4, 14 11 13 5 3 12 2 8 10 9 4 0 1 6 7 15 , na, na, na, na
dfid, TopSpinC16x4, 6 9 0 1 5 4 3 2 7 13 8 12 11 14 10 15 , na, na, na, na
dfid, TopSpinC16x4, 14 10 1 2 3 4 8 9 5 6 7 13 12 11 0 15 , 4, 100654, 0.018059, 5573619.500000
dfid, TopSpinC16x4, 5 6 7 3 4 11 10 9 8 12 13 14 2 1 0 15 , 4, 17020, 0.003017, 5641365.500000
dfid, TopSpinC16x4, 0 1 2 3 4 11 7 6 5 8 12 13 10 9 14 15 , 4, 85877, 0.017797, 4825363.500000
dfid, TopSpinC16x4, 2 5 4 3 1 13 12 11 9 8 7 10 14 0 6 15 , na, na, na, na
