algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, TopSpinC16x4, 10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15 , na, na, na, na
dfid, TopSpinC16x4, 0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15 , 2, 476, 0.000074, 6432432.000000
dfid, TopSpinC16x4, 11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15 , na, na, na, na
dfid, TopSpinC16x4, 8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15 , na, na, na, na
dfid, TopSpinC16x4, 0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15 , na, na, na, na
dfid, TopSpinC16x4, 14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15 , na, na, na, na
dfid, TopSpinC16x4, 9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15 , 8, 135936543, 25.021215, 5432851.500000
dfid, TopSpinC16x4, 14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15 , 8, 406125550, 54.485886, 7453775.000000
dfid, TopSpinC16x4, 0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15 , na, na, na, na
dfid, TopSpinC16x4, 0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15 , na, na, na, na
dfid, TopSpinC16x4, 0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15 , 4, 64899, 0.011714, 5540293.500000
dfid, TopSpinC16x4, 3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15 , 6, 2655875, 0.491866, 5399590.500000
dfid, TopSpinC16x4, 3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15 , 6, 2476886, 0.458579, 5401220.000000
dfid, TopSpinC16x4, 8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15 , 8, 520527407, 48.494888, 10733655.000000
dfid, TopSpinC16x4, 13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15 , na, na, na, na
dfid, TopSpinC16x4, 10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15 , 8, 126396494, 23.276608, 5430194.000000
dfid, TopSpinC16x4, 5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15 , na, na, na, na
dfid, TopSpinC16x4, 13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15 , na, na, na, na
dfid, TopSpinC16x4, 10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15 , 6, 5107487, 0.344173, 14839882.000000
dfid, TopSpinC16x4, 14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15 , na, na, na, na
dfid, TopSpinC16x4, 1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15 , 8, 309976004, 20.976933, 14776994.000000
dfid, TopSpinC16x4, 3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15 , 6, 1483946, 0.099834, 14864134.000000
dfid, TopSpinC16x4, 0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15 , 4, 21728, 0.001427, 15226349.000000
dfid, TopSpinC16x4, 0 1 2 3 7 6 5 9 10 11 4 14 13 12 8 15 , 4, 98352, 0.006504, 15121771.000000
dfid, TopSpinC16x4, 11 1 14 8 3 0 2 5 6 9 13 4 7 12 10 15 , na, na, na, na
dfid, TopSpinC16x4, 0 4 3 6 7 2 1 5 8 9 10 14 13 12 11 15 , 4, 70452, 0.013448, 5238846.000000
dfid, TopSpinC16x4, 3 5 4 12 10 8 9 11 13 1 14 0 7 2 6 15 , na, na, na, na
dfid, TopSpinC16x4, 8 0 13 3 9 11 2 1 5 10 12 14 6 7 4 15 , na, na, na, na
dfid, TopSpinC16x4, 1 2 12 7 6 8 4 14 13 11 0 9 5 10 3 15 , na, na, na, na
dfid, TopSpinC16x4, 0 1 5 4 3 11 7 6 2 10 13 12 8 9 14 15 , 4, 79826, 0.014336, 5568220.000000
