algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, TopSpinC16x4, 14 2 3 4 7 11 10 5 6 9 8 12 13 1 0 15 , 4, 72356, 0.004767, 15178518.000000
dfid, TopSpinC16x4, 3 2 1 0 8 9 13 12 4 5 6 7 11 10 14 15 , 6, 1622341, 0.110233, 14717380.000000
dfid, TopSpinC16x4, 0 8 14 4 3 6 11 10 2 12 5 1 13 9 7 15 , na, na, na, na
dfid, TopSpinC16x4, 8 5 12 11 9 10 13 0 1 3 7 6 2 4 14 15 , 8, 239062798, 43.682159, 5472779.000000
dfid, TopSpinC16x4, 14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15 , 6, 6765123, 1.233361, 5485112.000000
dfid, TopSpinC16x4, 5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15 , 4, 53337, 0.009547, 5586781.500000
dfid, TopSpinC16x4, 2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15 , 6, 5095757, 0.940975, 5415401.000000
dfid, TopSpinC16x4, 7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15 , 8, 87605723, 17.184565, 5097930.500000
dfid, TopSpinC16x4, 3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15 , 4, 47026, 0.008409, 5592341.500000
dfid, TopSpinC16x4, 14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15 , 4, 103882, 0.018998, 5468049.000000
dfid, TopSpinC16x4, 0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15 , 4, 34957, 0.006244, 5598494.500000
dfid, TopSpinC16x4, 0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15 , 4, 44260, 0.007921, 5587678.500000
dfid, TopSpinC16x4, 9 8 14 0 1 5 4 10 6 7 11 3 2 12 13 15 , 8, 510334701, 43.026772, 11860864.000000
dfid, TopSpinC16x4, 3 4 9 13 6 5 8 7 12 11 10 14 2 1 0 15 , 4, 47134, 0.003098, 15214331.000000
dfid, TopSpinC16x4, 6 7 5 2 14 10 9 12 0 1 13 3 8 11 4 15 , na, na, na, na
dfid, TopSpinC16x4, 0 4 3 2 1 5 9 8 7 6 10 11 12 13 14 15 , 2, 451, 0.000026, 17346154.000000
dfid, TopSpinC16x4, 7 5 13 12 2 8 11 1 6 9 10 14 0 3 4 15 , na, na, na, na
dfid, TopSpinC16x4, 3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15 , 4, 89892, 0.016124, 5575043.000000
dfid, TopSpinC16x4, 0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15 , 2, 1114, 0.000175, 6365714.500000
dfid, TopSpinC16x4, 11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15 , na, na, na, na
dfid, TopSpinC16x4, 1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15 , na, na, na, na
dfid, TopSpinC16x4, 14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15 , na, na, na, na
dfid, TopSpinC16x4, 3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15 , 8, 106051799, 19.369419, 5475218.500000
dfid, TopSpinC16x4, 0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15 , 4, 71217, 0.013287, 5359900.500000
dfid, TopSpinC16x4, 3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15 , 4, 30642, 0.006841, 4479169.500000
dfid, TopSpinC16x4, 1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15 , na, na, na, na
dfid, TopSpinC16x4, 8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15 , na, na, na, na
dfid, TopSpinC16x4, 4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15 , 6, 6870289, 1.254275, 5477498.500000
dfid, TopSpinC16x4, 0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15 , 6, 2369605, 0.433648, 5464351.500000
dfid, TopSpinC16x4, 14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15 , na, na, na, na
