algorithm, domain, instance, cost, generated, time, gen_per_sec
dfid, 11Puzzle4x3, 4 3 2 6 1 8 B 5 7 9 10 11 , 10, 6267, 0.002665, 2351594.750000
dfid, 11Puzzle4x3, 3 1 4 5 B 2 6 7 8 9 10 11 , 8, 2636, 0.001242, 2122383.250000
dfid, 11Puzzle4x3, 3 1 2 6 7 11 8 4 10 9 B 5 , 18, 960839, 0.212982, 4511362.500000
dfid, 11Puzzle4x3, 4 3 2 1 7 5 10 9 8 6 B 11 , 12, 29427, 0.004191, 7021474.500000
dfid, 11Puzzle4x3, 3 1 4 6 5 2 B 7 8 9 10 11 , 8, 1625, 0.000252, 6448412.500000
dfid, 11Puzzle4x3, 3 5 2 1 9 11 10 4 B 6 8 7 , na, na, na, na
dfid, 11Puzzle4x3, 1 2 B 3 6 4 7 8 5 9 10 11 , 10, 4557, 0.000601, 7582363.000000
dfid, 11Puzzle4x3, 3 5 1 4 7 2 6 10 8 9 B 11 , 8, 1884, 0.000246, 7658536.500000
dfid, 11Puzzle4x3, 1 4 B 3 7 2 9 6 5 10 11 8 , 10, 5822, 0.000766, 7600522.000000
dfid, 11Puzzle4x3, 1 2 B 3 4 5 9 11 8 7 6 10 , 14, 89367, 0.011911, 7502896.500000
dfid, 11Puzzle4x3, B 2 3 1 6 5 11 7 4 9 8 10 , 24, 71252887, 9.496177, 7503323.500000
dfid, 11Puzzle4x3, 3 1 B 6 5 2 10 4 8 7 9 11 , 10, 7100, 0.001041, 6820365.000000
dfid, 11Puzzle4x3, 3 1 2 6 8 4 9 7 5 10 B 11 , 10, 6490, 0.001180, 5500000.000000
dfid, 11Puzzle4x3, B 3 2 6 1 4 9 7 5 10 11 8 , 10, 5561, 0.000995, 5588944.500000
dfid, 11Puzzle4x3, 1 4 2 3 7 5 10 8 11 6 B 9 , 10, 5628, 0.001029, 5469387.500000
dfid, 11Puzzle4x3, 2 3 B 6 8 5 9 11 4 7 1 10 , 28, 876305283, 125.577217, 6978218.500000
dfid, 11Puzzle4x3, 3 2 5 6 4 10 1 7 8 9 B 11 , 20, 4137580, 0.633568, 6530601.500000
dfid, 11Puzzle4x3, B 4 1 5 2 8 3 7 11 6 9 10 , 18, 1119564, 0.166877, 6708917.500000
dfid, 11Puzzle4x3, B 3 2 4 1 5 6 7 8 9 10 11 , 4, 89, 0.000017, 5235294.000000
dfid, 11Puzzle4x3, B 7 2 1 3 8 4 5 6 9 10 11 , 14, 101291, 0.015078, 6717801.000000
dfid, 11Puzzle4x3, 1 4 2 3 7 5 6 8 11 9 B 10 , 6, 363, 0.000068, 5338235.000000
dfid, 11Puzzle4x3, 2 4 3 1 7 5 B 6 8 9 10 11 , 14, 109297, 0.016203, 6745479.500000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 B 9 11 10 8 7 , 10, 8818, 0.001336, 6600299.000000
dfid, 11Puzzle4x3, 6 3 4 10 1 2 9 7 5 11 B 8 , 20, 4203215, 0.620935, 6769170.500000
dfid, 11Puzzle4x3, 7 8 1 3 B 2 4 6 5 9 10 11 , 14, 85008, 0.014811, 5739518.000000
dfid, 11Puzzle4x3, 3 5 4 6 2 1 7 10 8 9 B 11 , 16, 389663, 0.057621, 6762517.500000
dfid, 11Puzzle4x3, 3 1 2 10 4 8 5 7 11 6 B 9 , 16, 297529, 0.044243, 6724883.000000
dfid, 11Puzzle4x3, 3 1 5 2 7 4 6 10 8 9 B 11 , 10, 7437, 0.001120, 6640178.500000
dfid, 11Puzzle4x3, 3 1 2 6 4 5 7 10 8 9 B 11 , 4, 142, 0.000033, 4303030.500000
dfid, 11Puzzle4x3, 3 1 2 4 7 5 B 6 10 9 11 8 , 8, 2609, 0.000403, 6473945.000000
