algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
ida, gap, Pancake28, 20 21 0 9 15 1 11 25 16 18 17 10 19 27 3 22 24 26 14 13 2 6 8 12 5 23 4 7 , 26, 25, 1091288, 0.950000, 1148724.210526
ida, gap, Pancake28, 12 1 8 11 14 18 16 23 10 19 17 3 0 21 7 27 6 13 9 2 25 26 24 20 15 5 4 22 , 26, 26, 13115, 0.020000, 655750.000000
ida, gap, Pancake28, 15 18 0 27 16 26 6 7 25 4 2 17 9 19 24 11 12 13 5 3 10 20 21 8 1 22 23 14 , 24, 23, 68804, 0.060000, 1146733.333333
ida, gap, Pancake28, 9 2 1 11 6 7 14 25 12 10 18 8 24 17 3 4 20 26 15 0 16 19 13 22 27 21 5 23 , 25, 25, 8699, 0.010000, 869900.000000
ida, gap, Pancake28, 11 16 0 24 6 22 25 17 9 20 21 14 15 26 1 3 12 8 23 2 5 10 27 4 7 13 18 19 , 26, 25, 241341, 0.200000, 1206705.000000
ida, gap, Pancake28, 4 15 0 8 2 27 22 21 7 26 13 17 3 11 20 24 1 23 25 5 18 14 9 16 6 10 12 19 , 28, 27, 70651, 0.070000, 1009300.000000
ida, gap, Pancake28, 10 21 20 1 15 6 2 3 5 22 18 12 27 4 23 7 0 9 8 25 14 24 26 11 19 16 13 17 , 26, 25, 153669, 0.130000, 1182069.230769
ida, gap, Pancake28, 26 24 16 25 5 8 12 19 11 7 4 13 10 22 20 17 2 27 6 18 1 9 14 3 0 15 23 21 , 29, 28, 151229, 0.140000, 1080207.142857
ida, gap, Pancake28, 9 16 23 17 27 0 13 8 6 5 10 14 7 26 2 3 18 25 12 11 15 4 24 1 20 22 21 19 , 25, 24, 78965, 0.060000, 1316083.333333
ida, gap, Pancake28, 20 15 11 7 24 23 21 0 17 2 16 12 19 18 26 1 13 6 4 9 14 25 27 22 10 3 8 5 , 27, 26, 218806, 0.190000, 1151610.526316
ida, gap, Pancake28, 18 22 11 19 3 13 27 1 12 26 5 21 10 23 15 25 2 20 14 24 9 17 8 16 0 6 7 4 , 28, 27, 85228, 0.080000, 1065350.000000
ida, gap, Pancake28, 17 15 12 1 5 24 8 20 9 11 25 10 7 6 19 0 23 26 18 4 3 27 21 2 16 22 14 13 , 26, 25, 36848, 0.040000, 921200.000000
ida, gap, Pancake28, 22 9 19 1 12 0 5 4 2 10 15 21 11 24 6 16 25 3 18 26 7 20 13 23 8 17 14 27 , 27, 26, 39200, 0.020000, 1960000.000000
ida, gap, Pancake28, 16 17 15 6 13 9 25 10 26 22 5 3 19 14 18 0 20 1 23 12 7 21 27 24 4 11 2 8 , 27, 27, 6319, 0.010000, 631900.000000
ida, gap, Pancake28, 6 2 19 23 11 16 8 12 20 21 0 1 5 13 17 10 24 4 18 22 7 15 26 25 27 9 3 14 , 27, 25, 2539603, 2.230000, 1138835.426009
ida, gap, Pancake28, 1 18 9 22 19 12 16 11 26 20 13 14 5 25 24 17 6 2 10 0 4 21 7 8 15 23 27 3 , 26, 25, 57615, 0.050000, 1152300.000000
ida, gap, Pancake28, 14 2 27 3 1 10 8 15 19 16 26 12 24 7 21 4 0 6 22 13 23 5 11 9 18 17 20 25 , 28, 27, 747899, 0.660000, 1133180.303030
ida, gap, Pancake28, 5 27 18 10 4 22 19 13 9 2 0 26 8 1 17 7 25 11 21 20 15 16 12 6 23 24 3 14 , 25, 25, 5415, 0.010000, 541500.000000
ida, gap, Pancake28, 2 4 10 26 6 18 1 17 11 14 19 22 0 15 23 21 16 13 27 24 8 25 7 3 12 20 5 9 , 29, 28, 95935, 0.090000, 1065944.444444
ida, gap, Pancake28, 7 25 2 26 11 24 1 0 4 8 10 19 18 5 27 17 13 21 15 6 14 9 12 3 16 23 22 20 , 26, 25, 15307, 0.010000, 1530700.000000
ida, gap, Pancake28, 8 2 13 3 11 4 19 17 9 18 27 25 23 22 14 1 15 12 26 0 5 16 6 10 24 21 20 7 , 26, 26, 20556, 0.020000, 1027800.000000
ida, gap, Pancake28, 6 12 7 17 15 20 3 24 16 18 8 10 21 22 9 19 4 0 11 27 2 26 13 1 25 14 23 5 , 28, 27, 61117, 0.060000, 1018616.666667
ida, gap, Pancake28, 9 21 19 8 7 6 12 13 1 3 26 4 15 5 22 23 11 16 25 27 14 0 10 17 18 24 2 20 , 24, 23, 6038, 0.000000, inf
ida, gap, Pancake28, 11 17 27 4 21 2 23 16 26 7 24 18 6 25 19 1 0 10 9 15 12 5 13 8 14 3 22 20 , 27, 26, 372408, 0.320000, 1163775.000000
ida, gap, Pancake28, 0 12 23 18 22 6 25 4 7 8 2 3 1 11 16 9 17 26 20 21 13 27 10 14 5 24 19 15 , 26, 25, 224085, 0.210000, 1067071.428571
ida, gap, Pancake28, 8 3 11 9 2 21 23 24 1 13 19 27 6 5 7 17 22 10 14 25 26 15 18 4 20 0 12 16 , 26, 25, 45326, 0.030000, 1510866.666667
ida, gap, Pancake28, 13 10 1 18 23 27 8 6 17 21 12 2 16 7 25 11 15 22 0 5 9 14 20 3 26 24 4 19 , 29, 28, 96994, 0.100000, 969940.000000
ida, gap, Pancake28, 8 7 12 24 25 5 23 4 13 0 27 18 14 19 16 2 15 1 21 26 20 6 10 3 22 11 9 17 , 27, 26, 111772, 0.090000, 1241911.111111
ida, gap, Pancake28, 21 6 4 17 23 20 13 12 5 22 8 7 18 14 27 16 9 24 25 15 3 1 10 11 26 0 2 19 , 25, 24, 238960, 0.220000, 1086181.818182
ida, gap, Pancake28, 5 27 25 16 15 20 22 8 24 14 18 26 6 11 21 9 3 4 17 19 7 10 23 13 0 12 2 1 , 26, 25, 35694, 0.020000, 1784700.000000
ida, gap, Pancake28, 14 20 12 4 9 8 3 7 5 13 26 2 23 22 21 18 25 19 6 17 27 11 15 0 10 1 24 16 , 26, 25, 38705, 0.040000, 967625.000000
ida, gap, Pancake28, 3 19 10 21 26 16 23 24 5 7 18 22 11 8 15 1 4 20 9 12 0 2 27 25 14 13 17 6 , 27, 26, 32665, 0.030000, 1088833.333333
ida, gap, Pancake28, 11 24 4 16 18 10 1 15 0 13 3 9 23 12 20 19 26 27 7 17 25 21 6 2 14 8 22 5 , 27, 26, 1004928, 0.890000, 1129132.584270
ida, gap, Pancake28, 19 20 2 9 16 14 27 12 24 26 3 0 25 11 17 5 21 22 10 4 8 23 1 18 7 13 15 6 , 27, 26, 50657, 0.050000, 1013140.000000
ida, gap, Pancake28, 3 26 4 6 22 14 25 11 13 21 0 17 10 5 7 24 19 9 2 23 1 15 12 18 20 8 16 27 , 27, 27, 58536, 0.050000, 1170720.000000
ida, gap, Pancake28, 14 5 1 16 19 23 15 4 8 20 6 17 24 2 10 25 0 7 18 21 11 13 9 3 27 26 12 22 , 28, 27, 603186, 0.530000, 1138086.792453
ida, gap, Pancake28, 25 14 11 17 3 9 7 26 5 1 0 21 20 8 24 18 10 16 27 23 4 6 15 22 19 2 12 13 , 26, 25, 248960, 0.220000, 1131636.363636
ida, gap, Pancake28, 17 20 25 19 5 12 10 7 6 3 9 11 0 24 26 18 4 14 22 21 13 2 27 1 23 8 16 15 , 26, 25, 108006, 0.100000, 1080060.000000
ida, gap, Pancake28, 4 14 3 11 7 12 0 21 19 1 8 27 16 10 9 18 25 13 20 17 22 23 5 2 24 6 15 26 , 27, 26, 160677, 0.150000, 1071180.000000
ida, gap, Pancake28, 4 18 23 25 20 7 24 6 16 11 27 17 19 3 13 12 2 1 0 15 22 26 8 9 21 10 14 5 , 25, 24, 36455, 0.030000, 1215166.666667
ida, gap, Pancake28, 15 0 5 23 20 4 1 10 16 7 24 26 25 27 9 14 13 8 18 11 2 22 6 12 17 3 21 19 , 28, 26, 3962971, 3.520000, 1125844.034091
ida, gap, Pancake28, 21 3 13 20 26 23 16 17 18 25 4 6 15 1 9 5 19 7 0 27 24 22 10 2 12 14 8 11 , 27, 26, 122501, 0.110000, 1113645.454545
ida, gap, Pancake28, 14 22 9 6 4 18 10 2 21 16 8 25 12 26 3 15 0 1 13 19 24 27 5 20 11 23 7 17 , 28, 27, 204365, 0.180000, 1135361.111111
ida, gap, Pancake28, 8 24 1 27 14 10 22 2 17 12 9 26 13 16 6 23 25 21 0 7 19 3 20 15 18 4 5 11 , 27, 27, 25575, 0.020000, 1278750.000000
ida, gap, Pancake28, 2 17 5 6 19 14 27 18 1 20 23 12 22 16 24 10 7 3 26 21 13 25 8 11 0 15 9 4 , 27, 27, 75555, 0.060000, 1259250.000000
ida, gap, Pancake28, 21 26 24 16 14 10 8 0 4 19 17 2 11 6 23 1 20 18 9 5 3 25 15 7 27 22 12 13 , 27, 27, 25238, 0.020000, 1261900.000000
ida, gap, Pancake28, 24 21 11 19 18 2 15 27 5 0 16 7 1 26 13 8 14 25 3 17 12 20 10 23 9 6 4 22 , 28, 27, 91740, 0.090000, 1019333.333333
ida, gap, Pancake28, 15 12 0 5 10 20 25 26 4 14 11 9 19 6 21 13 27 3 1 2 23 18 17 7 24 16 8 22 , 25, 25, 5318, 0.000000, inf
ida, gap, Pancake28, 27 19 6 5 8 10 0 4 13 22 17 14 2 11 12 20 24 21 23 15 7 9 3 18 16 25 1 26 , 27, 26, 35527, 0.030000, 1184233.333333
