algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
astar, gap, Pancake28, 24 21 11 19 18 2 15 27 5 0 16 7 1 26 13 8 14 25 3 17 12 20 10 23 9 6 4 22 , 28, 27, 294190, 0.430000, 684162.790698
astar, gap, Pancake28, 15 12 0 5 10 20 25 26 4 14 11 9 19 6 21 13 27 3 1 2 23 18 17 7 24 16 8 22 , 25, 25, 2393, 0.000000, inf
astar, gap, Pancake28, 27 19 6 5 8 10 0 4 13 22 17 14 2 11 12 20 24 21 23 15 7 9 3 18 16 25 1 26 , 27, 26, 12975, 0.020000, 648750.000000
astar, gap, Pancake28, 17 24 15 3 16 9 10 13 11 2 6 12 1 5 18 8 19 25 0 4 7 23 27 22 20 26 14 21 , 27, 27, 8997, 0.010000, 899700.000000
astar, gap, Pancake28, 23 24 25 13 9 2 16 8 15 27 0 7 3 20 21 4 14 11 22 1 17 26 18 12 5 6 19 10 , 25, 24, 93156, 0.120000, 776300.000000
astar, gap, Pancake28, 2 11 18 5 21 25 13 0 22 7 9 16 26 1 14 4 8 24 23 6 15 12 3 17 20 27 19 10 , 28, 27, 198796, 0.330000, 602412.121212
astar, gap, Pancake28, 16 11 23 4 13 17 26 2 20 18 24 7 0 14 8 25 15 19 12 1 27 5 6 3 22 9 21 10 , 27, 27, 10557, 0.020000, 527850.000000
astar, gap, Pancake28, 1 20 18 25 12 22 11 4 7 8 21 26 5 14 9 10 0 13 23 3 15 17 27 16 19 6 2 24 , 27, 26, 93171, 0.110000, 847009.090909
astar, gap, Pancake28, 1 18 7 9 3 14 21 12 17 26 25 11 8 13 4 24 16 22 23 27 6 20 0 5 19 10 15 2 , 27, 26, 589213, 0.880000, 669560.227273
astar, gap, Pancake28, 20 2 16 9 10 6 7 1 4 22 15 5 3 19 17 18 27 14 8 12 24 13 23 0 11 26 21 25 , 26, 25, 413055, 0.690000, 598630.434783
astar, gap, Pancake28, 2 20 12 26 9 15 13 22 1 4 19 24 10 21 27 11 6 0 16 14 25 3 23 18 8 17 7 5 , 28, 28, 27897, 0.050000, 557940.000000
astar, gap, Pancake28, 1 11 25 17 15 2 24 7 21 10 6 22 16 4 13 19 0 20 14 12 3 23 18 5 8 9 26 27 , 26, 25, 89361, 0.110000, 812372.727273
astar, gap, Pancake28, 25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21 , 25, 25, 1431, 0.000000, inf
astar, gap, Pancake28, 9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23 , 26, 26, 12949, 0.020000, 647450.000000
astar, gap, Pancake28, 18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27 , 25, 24, 238183, 0.370000, 643737.837838
astar, gap, Pancake28, 26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14 , 29, 28, 375333, 0.510000, 735947.058824
astar, gap, Pancake28, 25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1 , 26, 25, 68792, 0.090000, 764355.555556
astar, gap, Pancake28, 1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24 , 25, 25, 3979, 0.000000, inf
astar, gap, Pancake28, 3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27 , 26, 25, 638260, 0.940000, 679000.000000
astar, gap, Pancake28, 25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18 , 28, 27, 542901, 0.830000, 654097.590361
astar, gap, Pancake28, 15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5 , 28, 27, 250456, 0.370000, 676908.108108
astar, gap, Pancake28, 15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9 , 27, 26, 278041, 0.420000, 662002.380952
astar, gap, Pancake28, 14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23 , 27, 26, 255807, 0.380000, 673176.315789
astar, gap, Pancake28, 15 22 8 23 17 5 25 19 24 6 11 3 21 4 26 1 27 16 14 7 2 20 13 0 9 10 18 12 , 27, 27, 2705, 0.000000, inf
astar, gap, Pancake28, 24 15 18 2 20 17 22 8 26 12 4 7 9 16 1 5 14 27 0 19 11 3 10 6 13 25 21 23 , 29, 28, 201552, 0.350000, 575862.857143
astar, gap, Pancake28, 16 15 19 25 23 7 17 22 5 4 0 24 9 14 11 10 1 18 13 3 6 26 2 27 8 20 12 21 , 26, 25, 127010, 0.180000, 705611.111111
astar, gap, Pancake28, 1 7 12 23 14 8 22 4 18 25 11 10 6 17 13 21 24 15 5 16 20 27 2 3 19 9 0 26 , 26, 26, 1223, 0.000000, inf
astar, gap, Pancake28, 5 4 21 23 14 20 0 10 13 9 16 1 22 2 25 27 12 8 17 6 26 7 24 19 3 18 11 15 , 27, 27, 10869, 0.010000, 1086900.000000
astar, gap, Pancake28, 5 14 16 8 15 21 11 4 17 27 0 18 13 20 23 19 6 2 7 1 25 24 22 26 10 12 9 3 , 27, 27, 5460, 0.010000, 546000.000000
