algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 2.000000, 15Puzzle, 11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8 , 66, 72, 26068, 0.030000, 868933.333333
dfid, manhatan, 2.000000, 15Puzzle, 8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7 , 62, 72, 9942, 0.010000, 994200.000000
dfid, manhatan, 2.000000, 15Puzzle, 4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10 , 58, 60, 151348, 0.150000, 1008986.666667
dfid, manhatan, 2.000000, 15Puzzle, 11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B , 88, 96, 100528, 0.110000, 913890.909091
dfid, manhatan, 2.000000, 15Puzzle, 12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13 , 56, 64, 987792, 1.450000, 681235.862069
dfid, manhatan, 2.000000, 15Puzzle, 3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13 , 71, 78, 73894, 0.150000, 492626.666667
dfid, manhatan, 2.000000, 15Puzzle, 8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11 , 61, 70, 430640, 0.860000, 500744.186047
dfid, manhatan, 2.000000, 15Puzzle, 6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12 , 63, 70, 2391, 0.010000, 239100.000000
dfid, manhatan, 2.000000, 15Puzzle, 8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14 , 71, 78, 25211, 0.050000, 504220.000000
dfid, manhatan, 2.000000, 15Puzzle, 10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8 , 63, 66, 9203, 0.010000, 920300.000000
dfid, manhatan, 2.000000, 15Puzzle, 12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1 , 71, 78, 22358, 0.050000, 447160.000000
dfid, manhatan, 2.000000, 15Puzzle, 10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12 , 78, 88, 47034, 0.040000, 1175850.000000
dfid, manhatan, 2.000000, 15Puzzle, 10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5 , 70, 76, 10896, 0.010000, 1089600.000000
dfid, manhatan, 2.000000, 15Puzzle, 14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6 , 94, 100, 303012, 0.600000, 505020.000000
dfid, manhatan, 2.000000, 15Puzzle, 12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1 , 72, 80, 7080, 0.010000, 708000.000000
dfid, manhatan, 2.000000, 15Puzzle, 13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11 , 47, 58, 77146, 0.160000, 482162.500000
dfid, manhatan, 2.000000, 15Puzzle, 3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8 , 59, 58, 1202191, 2.450000, 490690.204082
dfid, manhatan, 2.000000, 15Puzzle, 5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14 , 64, 72, 36637, 0.080000, 457962.500000
dfid, manhatan, 2.000000, 15Puzzle, 5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13 , 69, 74, 137879, 0.280000, 492425.000000
dfid, manhatan, 2.000000, 15Puzzle, 15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3 , 65, 70, 235728, 0.490000, 481077.551020
dfid, manhatan, 2.000000, 15Puzzle, 11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B , 90, 96, 61212, 0.130000, 470861.538462
dfid, manhatan, 2.000000, 15Puzzle, 6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15 , 53, 62, 62434, 0.130000, 480261.538462
dfid, manhatan, 2.000000, 15Puzzle, 4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5 , 81, 86, 34439, 0.070000, 491985.714286
dfid, manhatan, 2.000000, 15Puzzle, 8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3 , 72, 80, 1167641, 1.400000, 834029.285714
dfid, manhatan, 2.000000, 15Puzzle, 5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1 , 59, 62, 42512, 0.050000, 850240.000000
dfid, manhatan, 2.000000, 15Puzzle, 7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14 , 59, 62, 23531, 0.020000, 1176550.000000
dfid, manhatan, 2.000000, 15Puzzle, 11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2 , 73, 82, 557857, 0.570000, 978696.491228
dfid, manhatan, 2.000000, 15Puzzle, 7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9 , 50, 56, 690788, 0.720000, 959427.777778
