algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
dfid, manhatan, 1.500000, 15Puzzle, 5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3 , 54, 54, 746068, 0.760000, 981668.421053
dfid, manhatan, 1.500000, 15Puzzle, 9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4 , 59, 61, 526533, 0.550000, 957332.727273
dfid, manhatan, 1.500000, 15Puzzle, 3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1 , 59, 55, 4930852, 5.960000, 827324.161074
dfid, manhatan, 1.500000, 15Puzzle, 13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15 , 52, 51, 512208, 1.050000, 487817.142857
dfid, manhatan, 1.500000, 15Puzzle, 5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2 , 63, 67, 36146, 0.080000, 451825.000000
dfid, manhatan, 1.500000, 15Puzzle, 4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14 , 56, 51, 197536, 0.480000, 411533.333333
dfid, manhatan, 1.500000, 15Puzzle, 1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10 , 51, 52, 2131160, 5.510000, 386780.399274
dfid, manhatan, 1.500000, 15Puzzle, 9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3 , 44, 48, 95141, 0.240000, 396420.833333
dfid, manhatan, 1.500000, 15Puzzle, B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6 , 56, 51, 725430, 1.530000, 474137.254902
dfid, manhatan, 1.500000, 15Puzzle, 7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8 , 61, 58, 1071750, 2.170000, 493894.009217
dfid, manhatan, 1.500000, 15Puzzle, 11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15 , 56, 57, 1214276, 1.350000, 899463.703704
